,NEL1,NEL2,NEL4,NEL5,NEL6,NEL9,NEL12,NEL15,NEL18,NEL20,,,,,,,,,,,
10/1/11 0:00,14.936,,15.199,15.27,15.461,15.438,15.485,15.342,15.127,14.936,,,,,,,,,,,
10/1/11 0:30,14.864,,15.055,15.175,15.342,15.39,15.485,15.366,15.151,14.984,,,,,,,,,,,
10/1/11 1:00,14.792,,14.888,15.079,15.223,15.342,15.461,15.366,15.199,15.031,,,,,,,,,,,
10/1/11 1:30,14.697,,14.721,14.936,15.103,15.247,15.414,15.366,15.199,15.055,,,,,,,,,,,
10/1/11 2:00,14.625,,14.577,14.792,14.96,15.127,15.342,15.366,15.199,15.079,,,,,,,,,,,
10/1/11 2:30,14.529,,14.433,14.673,14.792,15.008,15.247,15.318,15.199,15.079,,,,,,,,,,,
10/1/11 3:00,14.433,,14.29,14.553,14.649,14.888,15.151,15.27,15.199,15.103,,,,,,,,,,,
10/1/11 3:30,14.361,,14.17,14.409,14.505,14.768,15.055,15.199,15.175,15.103,,,,,,,,,,,
10/1/11 4:00,14.266,,14.026,14.337,14.361,14.625,14.912,15.103,15.103,15.079,,,,,,,,,,,
10/1/11 4:30,14.194,,13.906,14.218,14.242,14.481,14.768,15.008,15.031,15.031,,,,,,,,,,,
10/1/11 5:00,14.098,,13.786,14.098,14.098,14.337,14.625,14.888,14.96,14.96,,,,,,,,,,,
10/1/11 5:30,14.026,,13.666,13.954,13.978,14.218,14.481,14.745,14.84,14.864,,,,,,,,,,,
10/1/11 6:00,13.954,,13.546,13.882,13.834,14.074,14.337,14.625,14.721,14.792,,,,,,,,,,,
10/1/11 6:30,13.882,,13.425,13.738,13.714,13.954,14.194,14.481,14.577,14.673,,,,,,,,,,,
10/1/11 7:00,13.81,,13.329,13.642,13.594,13.81,14.05,14.337,14.457,14.529,,,,,,,,,,,
10/1/11 7:30,13.738,,13.233,13.522,13.473,13.69,13.93,14.194,14.314,14.409,,,,,,,,,,,
10/1/11 8:00,13.666,,13.137,13.449,13.377,13.57,13.81,14.05,14.17,14.29,,,,,,,,,,,
10/1/11 8:30,13.594,,13.064,13.305,13.305,13.497,13.69,13.93,14.05,14.17,,,,,,,,,,,
10/1/11 9:00,13.522,,13.016,13.233,13.233,13.401,13.618,13.834,13.93,14.05,,,,,,,,,,,
10/1/11 9:30,13.473,,12.968,13.185,13.185,13.329,13.522,13.738,13.834,13.954,,,,,,,,,,,
10/1/11 10:00,13.425,,12.992,13.185,13.185,13.329,13.522,13.69,13.81,13.93,,,,,,,,,,,
10/1/11 10:30,13.401,,13.04,13.233,13.233,13.329,13.546,13.714,13.81,13.93,,,,,,,,,,,
10/1/11 11:00,13.401,,13.161,13.305,13.329,13.401,13.57,13.714,13.738,13.858,,,,,,,,,,,
10/1/11 11:30,13.425,,13.329,13.377,13.425,13.425,13.594,13.69,13.714,13.786,,,,,,,,,,,
