Date and time,Julian day,Big Springs Dam,Busk bridge,Blw. waterwheel,Lowest drivable bridge,Abv. LSC,BSC abv SR
10/1/2016 0:00,,,12.025,,,,
10/1/2016 0:30,,,11.977,,,,
10/1/2016 1:00,,,11.929,,,,
10/1/2016 1:30,,,11.904,,,,
10/1/2016 2:00,,,11.832,,,,
10/1/2016 2:30,,,11.807,,,,
10/1/2016 3:00,,,11.759,,,,
10/1/2016 3:30,,,11.71,,,,
10/1/2016 4:00,,,11.662,,,,
10/1/2016 4:30,,,11.637,,,,
10/1/2016 5:00,,,11.613,,,,
10/1/2016 5:30,,,11.565,,,,
10/1/2016 6:00,,,11.54,,,,
10/1/2016 6:30,,,11.492,,,,
10/1/2016 7:00,,,11.467,,,,
10/1/2016 7:30,,,11.492,,,,
10/1/2016 8:00,,,11.565,,,,
10/1/2016 8:30,,,11.686,,,,
10/1/2016 9:00,,,11.807,,,,
10/1/2016 9:30,,,11.977,,,,
10/1/2016 10:00,,,12.122,,,,
10/1/2016 10:30,,,12.268,,,,
10/1/2016 11:00,,,12.389,,,,
10/1/2016 11:30,,,12.509,,,,
10/1/2016 12:00,,,12.509,,,,
10/1/2016 12:30,,,12.606,,,,
10/1/2016 13:00,,,12.606,,,,
10/1/2016 13:30,,,12.534,,,,
10/1/2016 14:00,,,12.389,,,,
10/1/2016 14:30,,,12.364,,,,
10/1/2016 15:00,,,12.219,,,,
10/1/2016 15:30,,,12.195,,,,
10/1/2016 16:00,,,12.243,,,,
10/1/2016 16:30,,,12.171,,,,
10/1/2016 17:00,,,12.074,,,,
10/1/2016 17:30,,,12.001,,,,
10/1/2016 18:00,,,11.929,,,,
10/1/2016 18:30,,,11.904,,,,
10/1/2016 19:00,,,11.904,,,,
10/1/2016 19:30,,,11.88,,,,
10/1/2016 20:00,,,11.832,,,,
10/1/2016 20:30,,,11.807,,,,
10/1/2016 21:00,,,11.783,,,,
10/1/2016 21:30,,,11.759,,,,
10/1/2016 22:00,,,11.734,,,,
10/1/2016 22:30,,,11.734,,,,
10/1/2016 23:00,,,11.71,,,,
10/1/2016 23:30,,,11.686,,,,
10/2/2016 0:00,,,11.637,,,,
10/2/2016 0:30,,,11.589,,,,
10/2/2016 1:00,,,11.565,,,,
10/2/2016 1:30,,,11.54,,,,
10/2/2016 2:00,,,11.492,,,,
10/2/2016 2:30,,,11.443,,,,
10/2/2016 3:00,,,11.419,,,,
10/2/2016 3:30,,,11.37,,,,
10/2/2016 4:00,,,11.346,,,,
10/2/2016 4:30,,,11.321,,,,
10/2/2016 5:00,,,11.321,,,,
10/2/2016 5:30,,,11.321,,,,
10/2/2016 6:00,,,11.321,,,,
10/2/2016 6:30,,,11.321,,,,
10/2/2016 7:00,,,11.321,,,,
10/2/2016 7:30,,,11.297,,,,
10/2/2016 8:00,,,11.346,,,,
10/2/2016 8:30,,,11.443,,,,
10/2/2016 9:00,,,11.516,,,,
10/2/2016 9:30,,,11.613,,,,
10/2/2016 10:00,,,11.686,,,,
10/2/2016 10:30,,,11.783,,,,
10/2/2016 11:00,,,12.025,,,,
10/2/2016 11:30,,,11.929,,,,
10/2/2016 12:00,,,11.759,,,,
10/2/2016 12:30,,,11.88,,,,
10/2/2016 13:00,,,12.001,,,,
10/2/2016 13:30,,,12.025,,,,
10/2/2016 14:00,,,12.025,,,,
10/2/2016 14:30,,,12.195,,,,
10/2/2016 15:00,,,12.098,,,,
10/2/2016 15:30,,,12.05,,,,
10/2/2016 16:00,,,12.001,,,,
10/2/2016 16:30,,,12.001,,,,
10/2/2016 17:00,,,11.977,,,,
10/2/2016 17:30,,,11.904,,,,
10/2/2016 18:00,,,11.856,,,,
10/2/2016 18:30,,,11.832,,,,
10/2/2016 19:00,,,11.807,,,,
10/2/2016 19:30,,,11.807,,,,
10/2/2016 20:00,,,11.807,,,,
10/2/2016 20:30,,,11.807,,,,
