dam_name,comid
Big Springs Dam,3917414
Black Butte,7992981
Box Canyon,7965339
Buckhorn,8245934
Coyote Valley Dam,8269145
Don Pedro Main,17078813
Dwinnell Dam (Shasta River Dam),3917466
Englebright,8062555
Folsom,15022453
Friant,17116483
Hidden Dam,17100573
Lewiston,8246426
Macumber,2764502
Martis Creek,8933858
McCloud Diversion,7961227
New Exchequer (Lake McClure),21608661
New Melones,348435
Pit No. 7 Afterbay,7951290
Shasta,2782699
Success,17159700
Thermalito Diversion,7968465
Warm Springs,8270775
Whiskeytown,2782777
