station_id,k_3,k_5
10265150,1,1
10336610,2,2
10336780,2,2
11176900,3,3
11261100,3,3
11261500,3,3
11262900,3,3
11274550,3,3
11290000,3,3
11303000,2,2
11303500,3,3
11304810,3,3
11390500,3,3
11447650,3,3
11455165,3,3
11467000,3,3
AFD,2,2
BAS,2,2
BBQ,3,3
BBW,2,2
BCD,3,3
BIC,3,3
BNF,2,2
BSC_dam,2,2
BSC_mouth,2,2
BSC_spring,1,1
BSF,2,4
BWC,3,3
CCR,2,4
CDM,2,4
CLP,2,2
CRS,3,3
DGC,2,2
DLT,2,2
DNB,3,3
DVD,3,3
FHH,2,2
FRA,2,2
FWQ,2,4
GDC,2,4
GMB,2,2
GRF,3,3
GVI,2,2
GVO,2,2
GVT,2,2
H41,2,2
HIQ,2,2
HSP,3,3
IGO,2,2
JLF,2,2
KWK,2,4
LWS,2,4
MCH,3,3
MRB,3,3
MSS,2,2
MTK,2,2
NFA,2,2
NFH,2,2
NTR,2,2
OBS,2,2
ORA,2,2
PC_mouth,2,2
PMN,2,2
RCL,2,2
ROR,3,3
SCQ,3,3
SDP,3,3
SHD,1,5
SJS,3,3
SRabvBSC,2,2
SRabvPC,2,2
SWA,3,3
TGC,2,2
TLK,2,2
WPC,2,2
WRM,2,4
YRS,2,4
